# BUSCO version is: 6.0.0 
# The lineage dataset is: ascomycota_odb12 (Creation date: 2025-07-01, number of genomes: 105, number of BUSCOs: 2826)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
477145at4890	Duplicated	YLR062C_mRNA:9-359	150.3	112	https://www.orthodb.org/?query=477145at4890	60S ribosomal protein
477145at4890	Duplicated	YLR061W_mRNA:0-362	150.1	112	https://www.orthodb.org/?query=477145at4890	60S ribosomal protein
477145at4890	Duplicated	YFL034C-A_mRNA:0-365	148.3	112	https://www.orthodb.org/?query=477145at4890	60S ribosomal protein
482088at4890	Complete	YPR161C_mRNA:0-1970	444.2	337	https://www.orthodb.org/?query=482088at4890	kinase
482889at4890	Complete	YNL107W_mRNA:0-677	236.5	225	https://www.orthodb.org/?query=482889at4890	Protein AF-9
483143at4890	Missing
483289at4890	Missing
484340at4890	Fragmented	YLR397C_mRNA:0-2339	762.1	455	https://www.orthodb.org/?query=484340at4890	ATPase
490024at4890	Complete	YFL030W_mRNA:0-1154	473.6	375	https://www.orthodb.org/?query=490024at4890	Aminotransferase
491481at4890	Missing
491486at4890	Fragmented	YLR099W-A_mRNA:0-260	74.5	52	https://www.orthodb.org/?query=491486at4890	Hypothetical protein
492169at4890	Missing
493424at4890	Complete	YMR012W_mRNA:0-3830	827.6	1014	https://www.orthodb.org/?query=493424at4890	Eukaryotic translation initiation factor 3
494079at4890	Complete	YCL034W_mRNA:0-1061	219.1	371	https://www.orthodb.org/?query=494079at4890	vhs domain-containing protein
498210at4890	Complete	YPR128C_mRNA:0-980	342.2	295	https://www.orthodb.org/?query=498210at4890	peroxisomal adenine nucleotide transporter
509757at4890	Missing
513090at4890	Missing
513864at4890	Complete	YOR020C_mRNA:0-314	147.1	101	https://www.orthodb.org/?query=513864at4890	10 kDa heat shock protein,mitochondrial
515757at4890	Missing
515838at4890	Complete	YDR485C_mRNA:0-2384	82.8	373	https://www.orthodb.org/?query=515838at4890	Vacuolar protein sorting-associated protein 72 like protein
518543at4890	Fragmented	YDL139C_mRNA:0-668	49.1	61	https://www.orthodb.org/?query=518543at4890	myb-like DNA-binding domain protein
543347at4890	Complete	YMR116C_mRNA:0-956	511.1	309	https://www.orthodb.org/?query=543347at4890	guanine nucleotide-binding protein
543418at4890	Missing
543679at4890	Complete	YGL190C_mRNA:0-1577	780.4	471	https://www.orthodb.org/?query=543679at4890	protein phosphatase pp2a regulatory subunit B
543781at4890	Complete	YOR362C_mRNA:0-863	391.5	255	https://www.orthodb.org/?query=543781at4890	proteasome
543835at4890	Complete	YEL050C_mRNA:0-1178	504.6	327	https://www.orthodb.org/?query=543835at4890	ribosomal protein
543836at4890	Complete	YJR137C_mRNA:0-4325	1920.0	1328	https://www.orthodb.org/?query=543836at4890	sulfite reductase 
543878at4890	Complete	YLR401C_mRNA:0-2003	736.1	646	https://www.orthodb.org/?query=543878at4890	Dihydrouridine synthase
544111at4890	Complete	YLR277C_mRNA:0-2336	964.2	740	https://www.orthodb.org/?query=544111at4890	Ysh1
544169at4890	Missing
544221at4890	Missing
544239at4890	Complete	YDR214W_mRNA:0-1049	299.2	301	https://www.orthodb.org/?query=544239at4890	Co-chaperone
544258at4890	Missing
544291at4890	Complete	YLR326W_mRNA:0-719	153.1	208	https://www.orthodb.org/?query=544291at4890	membrane protein
544632at4890	Complete	YKL151C_mRNA:0-1010	377.5	306	https://www.orthodb.org/?query=544632at4890	ATP-dependent (S)-NAD(P)H-hydrate dehydratase
544907at4890	Missing
544908at4890	Complete	YJL059W_mRNA:0-1223	426.9	350	https://www.orthodb.org/?query=544908at4890	CLN3 protein
544971at4890	Complete	YNL287W_mRNA:0-2801	1005.1	831	https://www.orthodb.org/?query=544971at4890	Coatomer gamma subunit
545115at4890	Missing
545140at4890	Missing
545183at4890	Complete	YKL094W_mRNA:0-938	195.3	254	https://www.orthodb.org/?query=545183at4890	hydrolase
545225at4890	Complete	YOR243C_mRNA:0-2027	664.6	659	https://www.orthodb.org/?query=545225at4890	pseudouridine synthase
545651at4890	Complete	YJL080C_mRNA:0-3665	654.2	881	https://www.orthodb.org/?query=545651at4890	rna binding effector protein
545932at4890	Complete	YLR173W_mRNA:0-1823	166.0	407	https://www.orthodb.org/?query=545932at4890	Hypothetical protein
546284at4890	Complete	YOR056C_mRNA:0-1376	297.7	329	https://www.orthodb.org/?query=546284at4890	20s-pre-rRNA d-site endonuclease
546349at4890	Missing
546352at4890	Complete	YIR006C_mRNA:0-4439	626.8	1188	https://www.orthodb.org/?query=546352at4890	Actin cytoskeleton-regulatory complex protein
546624at4890	Fragmented	YBR172C_mRNA:0-2219	199.1	530	https://www.orthodb.org/?query=546624at4890	GYF domain-containing protein
546849at4890	Complete	YEL040W_mRNA:0-1400	440.6	380	https://www.orthodb.org/?query=546849at4890	Cell wall
550760at4890	Missing
551725at4890	Missing
552598at4890	Missing
553252at4890	Complete	YPR190C_mRNA:0-1961	301.0	494	https://www.orthodb.org/?query=553252at4890	RNA polymerase III subunit
553289at4890	Fragmented	YOR081C_mRNA:108-1586	279.7	451	https://www.orthodb.org/?query=553289at4890	Patatin-like phospholipase domain-containing protein like
554087at4890	Missing
554119at4890	Missing
554956at4890	Missing
554986at4890	Missing
555089at4890	Missing
558833at4890	Missing
559469at4890	Complete	YBR256C_mRNA:0-713	326.4	232	https://www.orthodb.org/?query=559469at4890	riboflavin synthase
562197at4890	Complete	YBL050W_mRNA:0-875	296.7	269	https://www.orthodb.org/?query=562197at4890	vesicular-fusion protein
562229at4890	Duplicated	YGR204W_mRNA:0-2837	1562.3	929	https://www.orthodb.org/?query=562229at4890	tetrahydrofolate synthase
562229at4890	Duplicated	YBR084W_mRNA:0-2924	1602.6	928	https://www.orthodb.org/?query=562229at4890	tetrahydrofolate synthase
563039at4890	Missing
563065at4890	Fragmented	YMR115W_mRNA:0-1502	127.5	238	https://www.orthodb.org/?query=563065at4890	TPR domain-containing protein
563979at4890	Missing
564384at4890	Complete	YPR117W_mRNA:0-7466	1510.8	2254	https://www.orthodb.org/?query=564384at4890	FMP27
564591at4890	Complete	YGR163W_mRNA:6-1007	371.7	295	https://www.orthodb.org/?query=564591at4890	GTP-binding protein
564945at4890	Missing
565051at4890	Complete	YIL068C_mRNA:0-2414	538.7	724	https://www.orthodb.org/?query=565051at4890	Exocyst complex component
566310at4890	Missing
566977at4890	Fragmented	YMR003W_mRNA:0-593	49.1	85	https://www.orthodb.org/?query=566977at4890	SAP domain
568493at4890	Complete	YDR054C_mRNA:0-884	270.5	193	https://www.orthodb.org/?query=568493at4890	ubiquitin-conjugating enzyme
568706at4890	Complete	YPL115C_mRNA:0-3383	409.5	552	https://www.orthodb.org/?query=568706at4890	GTPase-activating protein
569005at4890	Missing
569144at4890	Complete	YNL248C_mRNA:0-1244	296.3	415	https://www.orthodb.org/?query=569144at4890	RNA polymerase I
570247at4890	Missing
570868at4890	Missing
571102at4890	Complete	YGR099W_mRNA:0-2060	240.8	821	https://www.orthodb.org/?query=571102at4890	telomere length regulation protein
571130at4890	Complete	YLR024C_mRNA:0-5615	1003.8	1785	https://www.orthodb.org/?query=571130at4890	Ubiquitin-protein ligase E3
571559at4890	Fragmented	YNL054W_mRNA:0-3494	188.2	662	https://www.orthodb.org/?query=571559at4890	vacuolar segregation protein
571946at4890	Missing
574581at4890	Complete	YOL142W_mRNA:0-719	190.9	212	https://www.orthodb.org/?query=574581at4890	Rrp40
575418at4890	Complete	YPL066W_mRNA:0-1436	178.9	359	https://www.orthodb.org/?query=575418at4890	arrestin
578305at4890	Complete	YPR086W_mRNA:33-1031	346.4	301	https://www.orthodb.org/?query=578305at4890	transcription factor
580863at4890	Missing
581918at4890	Fragmented	YPL024W_mRNA:0-722	94.8	163	https://www.orthodb.org/?query=581918at4890	recQ mediated genome instability protein
582370at4890	Complete	YDL236W_mRNA:0-923	374.2	293	https://www.orthodb.org/?query=582370at4890	4 nitrophenylphosphatase
585466at4890	Complete	YHR005C-A_mRNA:0-278	128.1	78	https://www.orthodb.org/?query=585466at4890	mitochondrial import inner membrane translocase subunit
585527at4890	Missing
585911at4890	Missing
587302at4890	Missing
588066at4890	Missing
588305at4890	Missing
589946at4890	Missing
591305at4890	Missing
592621at4890	Missing
595681at4890	Missing
595753at4890	Missing
596160at4890	Complete	YMR067C_mRNA:0-1247	190.6	397	https://www.orthodb.org/?query=596160at4890	UBX
598153at4890	Missing
598223at4890	Complete	YPL268W_mRNA:0-2606	612.4	645	https://www.orthodb.org/?query=598223at4890	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase
600365at4890	Missing
603604at4890	Complete	YBR087W_mRNA:0-1061	505.2	342	https://www.orthodb.org/?query=603604at4890	replication factor C
603988at4890	Complete	YPL082C_mRNA:0-5600	2223.9	1708	https://www.orthodb.org/?query=603988at4890	Mot1
605695at4890	Complete	YKL162C_mRNA:0-1205	232.2	352	https://www.orthodb.org/?query=605695at4890	methyltransferase
607910at4890	Complete	YEL017W_mRNA:0-1010	109.8	252	https://www.orthodb.org/?query=607910at4890	cupin -type
607969at4890	Missing
608776at4890	Fragmented	YBR258C_mRNA:0-425	50.1	84	https://www.orthodb.org/?query=608776at4890	Shg1
609317at4890	Complete	YIL038C_mRNA:0-2507	397.3	471	https://www.orthodb.org/?query=609317at4890	ccr4-not transcription complex
611271at4890	Duplicated	YCR004C_mRNA:0-740	326.5	199	https://www.orthodb.org/?query=611271at4890	flavodoxin
611271at4890	Duplicated	YDR032C_mRNA:0-593	326.0	198	https://www.orthodb.org/?query=611271at4890	flavodoxin
611962at4890	Complete	YNR015W_mRNA:0-1151	363.2	294	https://www.orthodb.org/?query=611962at4890	Dihydrouridine synthase
612084at4890	Complete	YAL039C_mRNA:0-806	286.7	253	https://www.orthodb.org/?query=612084at4890	Cytochrome c heme lyase
612880at4890	Complete	YJR073C_mRNA:0-617	282.2	186	https://www.orthodb.org/?query=612880at4890	Methylene-fatty-acyl-phospholipid synthase
613205at4890	Complete	YEL011W_mRNA:0-2111	1158.0	675	https://www.orthodb.org/?query=613205at4890	branching enzyme
614859at4890	Duplicated	YNR034W_mRNA:0-962	283.2	233	https://www.orthodb.org/?query=614859at4890	6 phosphogluconolactonase
614859at4890	Duplicated	YCR073W-A_mRNA:0-929	272.4	233	https://www.orthodb.org/?query=614859at4890	6 phosphogluconolactonase
615191at4890	Complete	YML022W_mRNA:0-560	266.2	173	https://www.orthodb.org/?query=615191at4890	adenine phosphoribosyltransferase
615375at4890	Missing
615533at4890	Complete	YKL009W_mRNA:0-707	290.9	228	https://www.orthodb.org/?query=615533at4890	mRNA turnover protein
616797at4890	Complete	YLR285W_mRNA:0-779	295.0	241	https://www.orthodb.org/?query=616797at4890	methyltransferase
617802at4890	Missing
618124at4890	Complete	YBR185C_mRNA:0-833	72.4	145	https://www.orthodb.org/?query=618124at4890	Mba1
618571at4890	Complete	YPL129W_mRNA:0-731	191.4	173	https://www.orthodb.org/?query=618571at4890	Transcription initiation factor
618634at4890	Duplicated	YDR300C_mRNA:0-1283	551.7	374	https://www.orthodb.org/?query=618634at4890	glutamate 5-kinase
618634at4890	Duplicated	YHR033W_mRNA:0-1268	473.5	374	https://www.orthodb.org/?query=618634at4890	glutamate 5-kinase
619170at4890	Complete	YFL028C_mRNA:0-866	322.1	242	https://www.orthodb.org/?query=619170at4890	ABC transporter
621003at4890	Complete	YML042W_mRNA:0-2009	702.1	561	https://www.orthodb.org/?query=621003at4890	Carnitine O-acetyltransferase
621685at4890	Complete	YKL190W_mRNA:0-524	282.3	169	https://www.orthodb.org/?query=621685at4890	calcineurin
623138at4890	Complete	YBR029C_mRNA:0-1370	554.5	382	https://www.orthodb.org/?query=623138at4890	phosphatidate cytidylyltransferase
624303at4890	Complete	YDR484W_mRNA:0-1922	400.5	448	https://www.orthodb.org/?query=624303at4890	Vacuolar protein sorting-associated protein
625148at4890	Complete	YDL100C_mRNA:0-1061	474.4	317	https://www.orthodb.org/?query=625148at4890	ATPase
625521at4890	Duplicated	YDR098C_mRNA:0-749	286.9	210	https://www.orthodb.org/?query=625521at4890	Glutaredoxin
625521at4890	Duplicated	YER174C_mRNA:0-731	281.2	210	https://www.orthodb.org/?query=625521at4890	Glutaredoxin
625685at4890	Complete	YNL313C_mRNA:0-2711	674.0	892	https://www.orthodb.org/?query=625685at4890	TPR repeat-containing protein
626050at4890	Complete	YGR048W_mRNA:0-1082	392.5	305	https://www.orthodb.org/?query=626050at4890	ubiquitin fusion degradation protein
626808at4890	Complete	YCR042C_mRNA:0-4220	843.9	1005	https://www.orthodb.org/?query=626808at4890	Transcription initiation factor TFIID subunit
627184at4890	Complete	YGR235C_mRNA:0-698	155.3	193	https://www.orthodb.org/?query=627184at4890	MICOS complex subunit
627729at4890	Complete	YGL016W_mRNA:0-3239	417.8	958	https://www.orthodb.org/?query=627729at4890	importin
628101at4890	Complete	YFR051C_mRNA:0-1637	421.1	467	https://www.orthodb.org/?query=628101at4890	coatomer subunit delta
628235at4890	Complete	YFL047W_mRNA:0-2141	704.7	652	https://www.orthodb.org/?query=628235at4890	GTPase activating protein
628557at4890	Fragmented	YLL035W_mRNA:0-1895	192.0	275	https://www.orthodb.org/?query=628557at4890	polynucleotide 5'-hydroxyl-kinase
628788at4890	Complete	YGR116W_mRNA:0-4352	1311.2	1402	https://www.orthodb.org/?query=628788at4890	transcription elongation factor
629898at4890	Missing
630110at4890	Duplicated	YIR037W_mRNA:0-488	246.0	153	https://www.orthodb.org/?query=630110at4890	glutathione peroxidase
630110at4890	Duplicated	YBR244W_mRNA:0-485	241.9	152	https://www.orthodb.org/?query=630110at4890	glutathione peroxidase
630563at4890	Complete	YDR477W_mRNA:0-1898	679.3	441	https://www.orthodb.org/?query=630563at4890	Protein kinase
630697at4890	Complete	YER018C_mRNA:0-662	130.8	215	https://www.orthodb.org/?query=630697at4890	kinetochore protein
631508at4890	Complete	YDR147W_mRNA:36-1598	214.2	344	https://www.orthodb.org/?query=631508at4890	Ethanolamine kinase
631630at4890	Complete	YBL036C_mRNA:0-770	296.9	233	https://www.orthodb.org/?query=631630at4890	racemase
631708at4890	Missing
632105at4890	Complete	YKR082W_mRNA:0-3470	440.3	1246	https://www.orthodb.org/?query=632105at4890	Nuclear pore
632420at4890	Missing
632733at4890	Missing
632862at4890	Fragmented	YMR275C_mRNA:0-2927	74.1	248	https://www.orthodb.org/?query=632862at4890	Arrestin
633347at4890	Complete	YDR177W_mRNA:0-644	282.9	198	https://www.orthodb.org/?query=633347at4890	Ubiquitin conjugating enzyme
635253at4890	Missing
635506at4890	Complete	YDL091C_mRNA:0-1364	265.9	345	https://www.orthodb.org/?query=635506at4890	Ubx domain-containing protein
636459at4890	Missing
636471at4890	Missing
636910at4890	Fragmented	YHR101C_mRNA:0-1004	56.5	151	https://www.orthodb.org/?query=636910at4890	Protein big1
637272at4890	Complete	YAL043C_mRNA:0-2354	386.3	656	https://www.orthodb.org/?query=637272at4890	mrna cleavage and polyadenylation specificity factor complex subunit
638334at4890	Complete	YMR074C_mRNA:0-434	72.5	76	https://www.orthodb.org/?query=638334at4890	programmed cell death protein
638592at4890	Fragmented	YKR041W_mRNA:0-746	51.4	189	https://www.orthodb.org/?query=638592at4890	Hypothetical protein
638654at4890	Fragmented	YML095C_mRNA:0-629	86.1	116	https://www.orthodb.org/?query=638654at4890	Mating-type switching protein
639267at4890	Missing
639326at4890	Complete	YKL004W_mRNA:0-1187	237.9	171	https://www.orthodb.org/?query=639326at4890	aureobasidin A resistance protein
640162at4890	Missing
640193at4890	Complete	YNL106C_mRNA:0-3548	1052.4	853	https://www.orthodb.org/?query=640193at4890	inositol-1
640471at4890	Missing
640521at4890	Complete	YPL040C_mRNA:0-3005	944.6	851	https://www.orthodb.org/?query=640521at4890	isoleucyl-tRNA synthetase
640672at4890	Fragmented	YCL014W_mRNA:0-4907	283.0	816	https://www.orthodb.org/?query=640672at4890	Rho guanyl nucleotide exchange factor
640892at4890	Complete	YGR127W_mRNA:0-935	184.4	270	https://www.orthodb.org/?query=640892at4890	duf833 domain-containing protein
641046at4890	Missing
641635at4890	Missing
641949at4890	Missing
642375at4890	Missing
643116at4890	Missing
643250at4890	Missing
643521at4890	Complete	YBR163W_mRNA:0-1751	119.7	243	https://www.orthodb.org/?query=643521at4890	Exonuclease
643642at4890	Complete	YOR206W_mRNA:0-2129	667.4	596	https://www.orthodb.org/?query=643642at4890	Nucleolar complex protein
643869at4890	Duplicated	YOR299W_mRNA:0-2237	577.4	605	https://www.orthodb.org/?query=643869at4890	ChAPs Chs5p-Arf1p-binding protein
643869at4890	Duplicated	YMR237W_mRNA:0-2171	500.8	603	https://www.orthodb.org/?query=643869at4890	ChAPs Chs5p-Arf1p-binding protein
644048at4890	Missing
646394at4890	Complete	YML121W_mRNA:0-929	382.3	288	https://www.orthodb.org/?query=646394at4890	GTP-binding protein
646454at4890	Complete	YAL020C_mRNA:0-995	205.3	304	https://www.orthodb.org/?query=646454at4890	alpha-tubulin suppressor
646581at4890	Duplicated	YOR375C_mRNA:0-1361	764.8	437	https://www.orthodb.org/?query=646581at4890	glutamate dehydrogenase
646581at4890	Duplicated	YAL062W_mRNA:0-1370	750.9	437	https://www.orthodb.org/?query=646581at4890	glutamate dehydrogenase
647176at4890	Complete	YBR154C_mRNA:0-644	298.0	200	https://www.orthodb.org/?query=647176at4890	RNA polymerases
647206at4890	Duplicated	YJL082W_mRNA:0-2192	494.4	540	https://www.orthodb.org/?query=647206at4890	Outer membrane protein
647206at4890	Duplicated	YKR018C_mRNA:0-2174	509.2	533	https://www.orthodb.org/?query=647206at4890	Outer membrane protein
647333at4890	Complete	YJL024C_mRNA:0-581	209.6	153	https://www.orthodb.org/?query=647333at4890	ap-3 complex subunit sigma
647691at4890	Complete	YNL072W_mRNA:0-917	338.9	275	https://www.orthodb.org/?query=647691at4890	Ribonuclease
647904at4890	Complete	YDL125C_mRNA:42-473	196.5	128	https://www.orthodb.org/?query=647904at4890	HIT protein
648075at4890	Missing
648083at4890	Complete	YHL015W_mRNA:0-362	165.5	105	https://www.orthodb.org/?query=648083at4890	40S ribosomal protein
648289at4890	Complete	YGR185C_mRNA:0-1181	553.5	351	https://www.orthodb.org/?query=648289at4890	tyrosyl-tRNA synthetase
648770at4890	Complete	YER005W_mRNA:0-1889	602.6	629	https://www.orthodb.org/?query=648770at4890	Apyrase
648979at4890	Complete	YPR100W_mRNA:0-419	156.1	128	https://www.orthodb.org/?query=648979at4890	ribosomal protein
649037at4890	Complete	YMR293C_mRNA:0-1391	504.5	413	https://www.orthodb.org/?query=649037at4890	Glutamyl-tRNA
649149at4890	Complete	YPR069C_mRNA:0-878	536.5	287	https://www.orthodb.org/?query=649149at4890	Spermidine synthase
649220at4890	Complete	YLR380W_mRNA:0-1223	394.3	343	https://www.orthodb.org/?query=649220at4890	CRAL-TRIO domain-containing protein
649413at4890	Duplicated	YPR032W_mRNA:0-3098	921.0	979	https://www.orthodb.org/?query=649413at4890	Lethal(2) giant larvae protein
649413at4890	Duplicated	YBL106C_mRNA:0-3029	876.1	979	https://www.orthodb.org/?query=649413at4890	Lethal(2) giant larvae protein
649419at4890	Missing
649438at4890	Complete	YGR129W_mRNA:0-644	93.2	219	https://www.orthodb.org/?query=649438at4890	pre-mRNA-splicing factor
650065at4890	Missing
